NodeCount,OverallPDR,AverageThroughput,OverallEndToEndDelay
50,100,1.50187,0.0263315
55,93.6508,2.01387,0.00292079
60,93.3333,0.882215,0.289615
65,68.6957,1.37695,0.0695977
70,79.2208,1.35057,0.0698731
75,81.6092,1.05751,0.174383
80,56.6038,0.98304,0.221467
85,100,0.9728,0.1621
90,100,0.8192,0.00338944
95,83.5165,1.56956,0.147749
100,81.0345,0.939083,0.217199
105,100,0.8192,0.00842533
110,100,0.8192,0.00439821
115,100,0.8192,0.00346126
120,76.3736,1.09489,0.0349918
125,100,0.8192,0.00635343
130,97.619,1.39947,0.0779364
135,68,0.69632,0.0632976
140,75.7576,0.975238,0.139459
145,79.5242,2.02823,0.146248
150,63.2653,0.529067,0.359498
155,100,0.8192,0.0053622
160,69.0391,1.20626,0.133267
165,67.2464,0.888105,0.189354
170,76.835,1.67355,0.193121
175,67.9707,1.02585,0.180887
180,70.7434,1.20832,0.190023
185,100,0.8192,0.00841635
190,51.6129,0.504123,0.191802
195,75.3425,1.15528,0.126775
200,100,0.8192,0.00347513
