NumberOfNodes,OverallPDR,AverageThroughput,OverallEndToEndDelay
5,0,0,0
10,93.3333,5.7344,0.0374895
15,83.3333,0.682667,0.104268
20,84.6154,0.693169,0.185178
25,100,0.8192,0.000443036
30,91.8033,1.76443,0.0633795
35,100,0.8192,0.00437123
40,100,0.8192,0.000452165
45,60,0.539473,0.193956
50,100,0.8192,0.00936236
55,81.4286,1.03765,0.355666
60,100,0.8192,0.000434186
65,73.1959,0.894818,0.273482
70,100,0.8192,0.000443312
75,70.8861,0.882215,0.217755
80,100,0.8192,0.00437129
85,41.0642,0.617444,0.0650249
90,67.3913,0.692596,0.243699
95,67.4419,0.848457,0.14154
100,86.6667,1.18329,0.142497
