TransmissionRange,OverallPDR,AverageThroughput,OverallEndToEndDelay
10,0,0,0
15,100,1.2288,0.0591315
20,100,1.26604,0.00609232
25,100,1.18329,0.082051
30,100,1.32332,0.00468371
35,100,1.57538,0.0824702
40,100,1.50187,0.0488132
45,83.3333,0.8192,0.00487387
50,86.6667,1.18329,0.142497
55,63.6364,0.637156,0.00681046
60,52.9412,0.73728,0.115554
65,40,0.702171,0.00367445
70,40,0.702171,0.00367445
75,40,0.702171,0.00367445
80,40,0.702171,0.00367445
85,40,0.702171,0.00367445
90,40,0.702171,0.00367445
95,40,0.702171,0.00367445
100,40,0.702171,0.00367445
